GeogLevel,Code,Areaname,LAcode,LAname,obese4_5,obese10_11,weight4_5,weight10_11,TWI,NWI,NIBHC,NIAHC
MSOA,E02000001,City of London 001,E09000001,City of London, ,0.288 ,0.138 ,0.407 ,1250,860,1070,810
MSOA,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.127 ,0.281 ,0.227 ,0.434 ,630,490,510,410
MSOA,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.111 ,0.268 ,0.229 ,0.454 ,780,590,580,490
MSOA,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.095 ,0.245 ,0.215 ,0.406 ,740,560,570,500
MSOA,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.112 ,0.237 ,0.248 ,0.394 ,720,550,520,430
MSOA,E02000006,Barking and Dagenham 005,E09000002,Barking and Dagenham,0.128 ,0.221 ,0.252 ,0.431 , , , , 
MSOA,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.160 ,0.242 ,0.306 ,0.382 ,650,510,510,400
MSOA,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.127 ,0.265 ,0.255 ,0.431 ,630,500,500,390
MSOA,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.131 ,0.299 ,0.248 ,0.452 ,660,510,510,400
MSOA,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.094 ,0.239 ,0.225 ,0.404 ,660,520,500,400
MSOA,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,0.125 ,0.256 ,0.235 ,0.442 ,770,580,550,470
MSOA,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.124 ,0.224 ,0.234 ,0.396 ,860,640,570,490
MSOA,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.133 ,0.232 ,0.278 ,0.385 ,700,540,510,410
MSOA,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.165 ,0.265 ,0.298 ,0.427 ,660,520,500,400
MSOA,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,0.148 ,0.274 ,0.270 ,0.384 ,630,490,500,380
MSOA,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.160 ,0.231 ,0.302 ,0.367 ,750,570,510,350
MSOA,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.128 ,0.231 ,0.226 ,0.397 ,810,610,550,430
MSOA,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.134 ,0.234 ,0.293 ,0.383 ,670,530,500,390
MSOA,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.126 ,0.310 ,0.283 ,0.455 ,730,560,520,420
MSOA,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.126 ,0.226 ,0.239 ,0.403 ,660,520,520,390
MSOA,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.175 ,0.305 ,0.314 ,0.443 ,700,540,510,420
MSOA,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.166 ,0.271 ,0.313 ,0.409 ,620,490,460,300
MSOA,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,0.147 ,0.260 ,0.288 ,0.401 ,670,530,490,360
MSOA,E02000024,Barnet 001,E09000003,Barnet,0.047 ,0.127 ,0.189 ,0.281 ,1050,750,740,680
MSOA,E02000025,Barnet 002,E09000003,Barnet,0.118 ,0.177 ,0.236 ,0.291 ,900,660,690,600
MSOA,E02000026,Barnet 003,E09000003,Barnet,0.114 ,0.157 ,0.270 ,0.304 ,980,710,680,620
MSOA,E02000027,Barnet 004,E09000003,Barnet,0.105 ,0.172 ,0.188 ,0.301 ,800,610,570,490
MSOA,E02000028,Barnet 005,E09000003,Barnet,0.076 ,0.136 ,0.168 ,0.333 ,1060,760,720,650
MSOA,E02000029,Barnet 006,E09000003,Barnet,0.064 ,0.248 ,0.204 ,0.384 ,920,680,650,570
MSOA,E02000030,Barnet 007,E09000003,Barnet,0.062 ,0.186 ,0.185 ,0.303 ,1020,740,700,640
MSOA,E02000031,Barnet 008,E09000003,Barnet,0.097 ,0.175 ,0.200 ,0.337 ,1030,740,730,670
MSOA,E02000032,Barnet 009,E09000003,Barnet,0.092 ,0.125 ,0.167 ,0.265 ,1080,780,690,650
MSOA,E02000033,Barnet 010,E09000003,Barnet,0.113 ,0.183 ,0.245 ,0.327 ,840,630,600,530
MSOA,E02000034,Barnet 011,E09000003,Barnet,0.076 ,0.170 ,0.228 ,0.309 ,960,700,670,600
MSOA,E02000035,Barnet 012,E09000003,Barnet,0.095 ,0.173 ,0.233 ,0.327 ,930,680,720,600
MSOA,E02000036,Barnet 013,E09000003,Barnet,0.136 ,0.242 ,0.318 ,0.394 ,960,700,630,550
MSOA,E02000037,Barnet 014,E09000003,Barnet,0.103 ,0.177 ,0.217 ,0.329 ,1020,750,640,580
MSOA,E02000038,Barnet 015,E09000003,Barnet,0.096 ,0.152 ,0.192 ,0.304 ,920,680,670,580
MSOA,E02000039,Barnet 016,E09000003,Barnet,0.111 ,0.190 ,0.236 ,0.282 ,1140,810,750,680
MSOA,E02000040,Barnet 017,E09000003,Barnet,0.100 ,0.175 ,0.240 ,0.340 ,910,680,630,540
MSOA,E02000041,Barnet 018,E09000003,Barnet,0.140 ,0.244 ,0.277 ,0.355 ,890,660,600,510
MSOA,E02000042,Barnet 019,E09000003,Barnet,0.096 ,0.194 ,0.199 ,0.328 ,870,650,680,550
MSOA,E02000043,Barnet 020,E09000003,Barnet,0.051 ,0.137 ,0.159 ,0.251 ,1280,900,780,720
MSOA,E02000044,Barnet 021,E09000003,Barnet,0.143 ,0.229 ,0.273 ,0.383 ,820,620,560,460
MSOA,E02000045,Barnet 022,E09000003,Barnet,0.093 ,0.218 ,0.221 ,0.383 ,850,640,620,510
MSOA,E02000046,Barnet 023,E09000003,Barnet,0.059 ,0.138 ,0.168 ,0.269 ,1050,750,770,630
MSOA,E02000047,Barnet 024,E09000003,Barnet,0.124 ,0.227 ,0.260 ,0.395 ,680,530,500,380
MSOA,E02000048,Barnet 025,E09000003,Barnet,0.098 ,0.177 ,0.239 ,0.298 ,1110,790,730,650
MSOA,E02000049,Barnet 026,E09000003,Barnet,0.130 ,0.289 ,0.267 ,0.458 ,680,540,470,350
MSOA,E02000050,Barnet 027,E09000003,Barnet,0.080 ,0.192 ,0.171 ,0.324 ,920,680,660,550
MSOA,E02000051,Barnet 028,E09000003,Barnet,0.076 ,0.134 ,0.209 ,0.244 ,1010,730,750,640
MSOA,E02000052,Barnet 029,E09000003,Barnet,0.046 ,0.161 ,0.170 ,0.322 ,1010,740,770,640
MSOA,E02000053,Barnet 030,E09000003,Barnet,0.126 ,0.222 ,0.287 ,0.383 ,810,600,580,430
MSOA,E02000054,Barnet 031,E09000003,Barnet,0.137 ,0.206 ,0.214 ,0.355 ,950,700,650,540
MSOA,E02000055,Barnet 032,E09000003,Barnet,0.061 ,0.185 ,0.159 ,0.392 ,870,650,630,500
MSOA,E02000056,Barnet 033,E09000003,Barnet,0.063 ,0.000 ,0.195 ,0.260 ,1300,910,830,780
MSOA,E02000057,Barnet 034,E09000003,Barnet,0.087 ,0.163 ,0.211 ,0.325 ,1050,760,650,550
